name;brand;cuisine;website;lng;lat
Domino's Pizza;Domino's Pizza;pizza;https://www.dominos.fr/magasin/cesson-sevigne_35510;-1.611337;48.1140754
Ancien Snack Montois;;kebab;;-0.5035078;43.8900474
Fins mets gourmands;;sandwich;;7.74181;48.5790075
Pizza des Pins;;pizza,sandwich,salad;https://www.allo-pizza.info/pizza/pizzeria-pizza-des-pins-roquefort-les-pins-06330/;7.0451379;43.6678488
McDonald's;McDonald's;burger;;-0.4798013;43.9028791
B-Chef;Bchef;bagel,burger,sandwich;https://bchef.fr/;3.4224051;46.1251093
;;;;2.2820978;48.9058093
Pizza K;;pizza;;1.4581853;43.6052935
McDonald's;McDonald's;burger;https://www.restaurants.mcdonalds.fr;-0.5709368;44.7779566
To Ly;;chinese;;3.8823827;43.6046105
Zooba;;;;3.882544;43.6045886
Kosmos;;kebab;;3.88254;43.6046657
McDonald's;McDonald's;burger;;2.3252141;48.8875232
;;;;2.4717783;48.0840427
Kempo Seat;;;;2.3277889;48.8934347
City Kebab;;kebab,pizza;;3.8819899;43.6059357
Le Cheese Nan;;kebab;;3.8809492;43.6069844
Istanbul Kebab;;kebab;;6.0736032;45.3929943
McDonald's;McDonald's;burger;;2.7836691;48.854935
McDonald's;McDonald's;burger;;2.7099136;48.8305401
Burger King;Burger King;burger;;6.9525364;43.5562696
Le Riad;;kebab;;-0.5000217;43.8884384
Pizz'Arrive;;italian;;3.8732352;43.5907944
A La Table du Roi;;;;3.8693176;43.613093
McDonald's;McDonald's;burger;;2.1945894;48.8852631
O'Bonita;;pizza,burger;;2.2569999;48.9860767
Chicken Spot;;kebab;;2.2570343;48.9861649
Kebab grill;;;;3.8824921;43.6016952
King Kebab;;kebab;;3.8811608;43.6068888
Bacara;;kebab;;3.8813176;43.6068359
Subway;Subway;sandwich;;3.8802344;43.6076939
Kumpir Box;;burger;;3.88017;43.6077561
Thaï to Box;;thai;;3.8807318;43.6072485
Burger' N' Co;;burger;https://www.burgernco.fr/;3.8803668;43.6079827
Délices du Liban;;kebab;;3.8805161;43.6081314
Omija;;chinese;;3.8808589;43.6080998
Five PIZZA;;pizza;;3.8810106;43.6079394
Chez Mireille;;pizza;;6.8486524;45.6277708
Mezzo Di Pasta;;pasta;https://www.mezzodipasta.fr/;7.743485;48.5860159
Burger King;Burger King;burger;https://www.burgerking.fr/restaurant/narbonne-bonne-source;3.0292222;43.1808384
La Crèperie Champenoise;;french;;4.0736328;48.2967625
Cafeteria;;;;-0.6122025;44.7914396
Burger King Toulouse Blagnac;Burger King;burger;https://www.burgerking.fr/restaurant/Toulouse%20Blagnac;1.3669992;43.644937
McDonald's;McDonald's;burger;;2.3067276;48.9705803
McDonald's;McDonald's;burger;;0.9202034;48.7327207
Pizza Fly;;pizza;;3.7476455;44.3624545
McDonald's;McDonald's;burger;;1.7121685;48.9882875
O'Tacos;;tacos;;3.8805152;43.6053796
Tutti Pizza;;pizza;;1.2942464;43.5643445
Delis Piz;;pizza;;4.0004062;43.9108322
Star Pizza;;pizza;http://www.starpizza.fr;7.7168386;48.5960954
La Famille;;;https://lafamillemontpellier.com;3.8903915;43.6091374
